nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,medianBugFixTime,clossedIssues,pullrequestsCount
chenglou/react-motion,https://github.com/chenglou/react-motion,21456,72,1,809.0,421.68361111111113,15.0,228.0
jaredhanson/passport,https://github.com/jaredhanson/passport,21439,34,1,617.0,1754.5087499999995,2.0,150.0
validatorjs/validator.js,https://github.com/validatorjs/validator.js,21239,445,0,2205.0,0.0,0.0,1221.0
pugjs/pug,https://github.com/pugjs/pug,21224,252,13,2572.0,1592.5569444444443,108.0,853.0
zadam/trilium,https://github.com/zadam/trilium,21079,82,0,6374.0,23.231250000000003,372.0,286.0
gchq/CyberChef,https://github.com/gchq/CyberChef,21068,225,71,3570.0,677.7569444444443,170.0,613.0
paularmstrong/normalizr,https://github.com/paularmstrong/normalizr,20985,60,0,455.0,0.0,0.0,193.0
postcss/autoprefixer,https://github.com/postcss/autoprefixer,20972,192,5,2610.0,142.71194444444444,95.0,335.0
necolas/react-native-web,https://github.com/necolas/react-native-web,20722,166,7,1930.0,74.18847222222223,122.0,699.0
ai/nanoid,https://github.com/ai/nanoid,20681,119,0,968.0,0.0,0.0,202.0
js-cookie/js-cookie,https://github.com/js-cookie/js-cookie,20626,48,0,868.0,1.4925000000000002,92.0,256.0
winstonjs/winston,https://github.com/winstonjs/winston,20463,356,74,1515.0,2797.359583333334,64.0,917.0
Meituan-Dianping/mpvue,https://github.com/Meituan-Dianping/mpvue,20424,166,3,2328.0,89.2526388888889,22.0,148.0
avajs/ava,https://github.com/avajs/ava,20338,300,11,1965.0,812.2580555555555,233.0,1378.0
eligrey/FileSaver.js,https://github.com/eligrey/FileSaver.js,20320,58,0,332.0,5238.63,6.0,163.0
benweet/stackedit,https://github.com/benweet/stackedit,20306,9,29,313.0,476.1588888888889,69.0,132.0
petkaantonov/bluebird,https://github.com/petkaantonov/bluebird,20288,243,11,2112.0,380.90972222222223,57.0,550.0
parse-community/parse-server,https://github.com/parse-community/parse-server,20226,298,0,4179.0,0.0,0.0,4135.0
chalk/chalk,https://github.com/chalk/chalk,20109,56,0,347.0,517.4193055555556,20.0,172.0
philc/vimium,https://github.com/philc/vimium,20074,145,0,4501.0,0.0,0.0,1033.0
shimohq/chinese-programmer-wrong-pronunciation,https://github.com/shimohq/chinese-programmer-wrong-pronunciation,20043,91,0,445.0,0.0,0.0,173.0
enzymejs/enzyme,https://github.com/enzymejs/enzyme,19974,367,26,2012.0,743.7266666666667,135.0,810.0
hapijs/joi,https://github.com/hapijs/joi,19894,219,8,2409.0,76.63541666666666,284.0,656.0
badges/shields,https://github.com/badges/shields,19851,477,20,,117.4259722222222,283.0,6650.0
responsively-org/responsively-app,https://github.com/responsively-org/responsively-app,19848,60,14,,115.6522222222222,50.0,407.0
websockets/ws,https://github.com/websockets/ws,19794,182,0,,0.0,0.0,686.0
FredKSchott/snowpack,https://github.com/FredKSchott/snowpack,19657,402,26,,147.81625,58.0,1497.0
Reactive-Extensions/RxJS,https://github.com/Reactive-Extensions/RxJS,19570,284,0,,0.0,0.0,637.0
typicode/lowdb,https://github.com/typicode/lowdb,19484,34,0,,1261.272222222222,1.0,143.0
Popmotion/popmotion,https://github.com/Popmotion/popmotion,19410,64,0,,3138.7530555555554,40.0,368.0
segmentio/nightmare,https://github.com/segmentio/nightmare,19374,129,13,,5032.419305555555,36.0,410.0
processing/p5.js,https://github.com/processing/p5.js,19321,572,80,,44.19569444444444,547.0,2578.0
svg/svgo,https://github.com/svg/svgo,19177,177,77,,445.32763888888894,160.0,614.0
vuejs/vue-router,https://github.com/vuejs/vue-router,18984,329,6,,537.0330555555555,85.0,957.0
